Sample Index,Iterative Silhouette
132,0.11734174937009811
133,0.11795788258314133
134,0.11954537779092789
135,0.11862131953239441
136,0.12326881289482117
137,0.12304307520389557
138,0.1252496838569641
139,0.12980082631111145
140,0.12959906458854675
141,0.13070841133594513
142,0.13101792335510254
143,0.12914371490478516
144,0.1317155510187149
145,0.13020072877407074
146,0.1298075020313263
147,0.12830883264541626
148,0.1325838714838028
149,0.13155776262283325
150,0.13035768270492554
151,0.1299961805343628
152,0.13003642857074738
153,0.13209469616413116
154,0.13184580206871033
155,0.13113945722579956
156,0.13332471251487732
157,0.13287247717380524
158,0.13656754791736603
159,0.1347646713256836
160,0.1377798467874527
161,0.13594695925712585
162,0.13525192439556122
163,0.1348651498556137
164,0.1348130702972412
165,0.13448385894298553
166,0.13352875411510468
167,0.13397380709648132
168,0.13269607722759247
169,0.13169346749782562
170,0.13211160898208618
171,0.13295604288578033
172,0.1315058171749115
173,0.1315598040819168
174,0.13090655207633972
175,0.12988735735416412
176,0.13017508387565613
177,0.12960554659366608
178,0.1306629478931427
179,0.1305243968963623
180,0.12988023459911346
181,0.13015618920326233
182,0.13021409511566162
183,0.13024954497814178
184,0.12812109291553497
185,0.12883755564689636
186,0.1292968988418579
187,0.13022230565547943
188,0.12979303300380707
189,0.129141703248024
190,0.12804968655109406
191,0.12890316545963287
192,0.12893587350845337
193,0.1280081570148468
194,0.12767083942890167
195,0.12721773982048035
196,0.1259925365447998
197,0.1263929009437561
198,0.12694962322711945
199,0.1264273226261139
200,0.12552893161773682
201,0.12603390216827393
202,0.1258874535560608
203,0.12600474059581757
204,0.1255505383014679
205,0.12507255375385284
206,0.12462872266769409
207,0.12396374344825745
208,0.12319102883338928
209,0.12224794924259186
210,0.12214448302984238
211,0.1223478838801384
212,0.12125511467456818
213,0.12163849174976349
214,0.12215116620063782
215,0.12322945147752762
216,0.12578244507312775
217,0.12645235657691956
218,0.12745849788188934
219,0.12698914110660553
220,0.1296849250793457
221,0.1304459571838379
222,0.13249416649341583
223,0.1322397142648697
224,0.1318322718143463
225,0.13206548988819122
226,0.12913502752780914
227,0.1311432421207428
228,0.13063064217567444
229,0.13022251427173615
230,0.13077273964881897
231,0.12916098535060883
232,0.12826217710971832
233,0.1276790350675583
234,0.12755537033081055
235,0.12933343648910522
236,0.12940925359725952
237,0.12927216291427612
238,0.12936049699783325
239,0.12795981764793396
240,0.12751296162605286
241,0.12644703686237335
242,0.12718407809734344
243,0.12706786394119263
244,0.1260865330696106
245,0.12522150576114655
246,0.12706401944160461
247,0.12724459171295166
248,0.12647680938243866
249,0.12679347395896912
250,0.12691828608512878
251,0.12744022905826569
252,0.12672089040279388
253,0.12663106620311737
254,0.12730740010738373
255,0.12627363204956055
256,0.12568967044353485
257,0.12608975172042847
258,0.12654940783977509
259,0.12618081271648407
260,0.1254771202802658
261,0.12534627318382263
262,0.12557059526443481
263,0.12578517198562622
264,0.1259845495223999
265,0.12591777741909027
266,0.12640655040740967
267,0.12667152285575867
268,0.1267387717962265
269,0.12616698443889618
270,0.1259002834558487
271,0.12788651883602142
272,0.12824733555316925
273,0.1278335154056549
274,0.129688560962677
275,0.13156338036060333
276,0.13084784150123596
277,0.13037310540676117
278,0.13010697066783905
279,0.12930521368980408
280,0.12823404371738434
281,0.1279015839099884
282,0.1278405487537384
283,0.1279059201478958
284,0.12706929445266724
285,0.1264352798461914
286,0.12472441047430038
287,0.1252114176750183
288,0.12720610201358795
289,0.12712465226650238
290,0.127456933259964
291,0.12757743895053864
292,0.12748798727989197
293,0.1270301192998886
294,0.12726090848445892
295,0.12641207873821259
296,0.12687377631664276
297,0.12636034190654755
298,0.1257680207490921
299,0.12490630894899368
300,0.1246212050318718
301,0.12436661869287491
302,0.12472755461931229
303,0.12606187164783478
304,0.1251586228609085
305,0.12547828257083893
306,0.1256406456232071
307,0.12620320916175842
308,0.12596844136714935
309,0.12521430850028992
310,0.12513889372348785
311,0.1251036375761032
312,0.12515561282634735
313,0.1271049529314041
314,0.12724052369594574
315,0.12629789113998413
316,0.12626419961452484
317,0.12553882598876953
318,0.12558585405349731
319,0.1261053830385208
320,0.12503118813037872
321,0.12480390816926956
322,0.12396752834320068
323,0.12384893000125885
324,0.12310831248760223
325,0.12230345606803894
326,0.1220870316028595
327,0.12073657661676407
328,0.1210910752415657
329,0.12144007533788681
330,0.11981429159641266
331,0.11986486613750458
332,0.11990778893232346
333,0.12020979076623917
334,0.1220555528998375
335,0.12392620742321014
336,0.12379641085863113
337,0.12361276149749756
338,0.12350241094827652
339,0.12473905086517334
340,0.12477279454469681
341,0.12458435446023941
342,0.12397070229053497
343,0.1236134022474289
344,0.12392864376306534
345,0.12413468211889267
346,0.12322573363780975
347,0.12307408452033997
348,0.1226079910993576
349,0.12232404202222824
350,0.12222181260585785
351,0.1217372864484787
352,0.12094022333621979
353,0.1227324977517128
354,0.12262607365846634
355,0.12308995425701141
356,0.12292822450399399
357,0.12424728274345398
358,0.12541460990905762
359,0.1253681629896164
360,0.12479114532470703
361,0.12348539382219315
362,0.12517182528972626
363,0.12454095482826233
364,0.12440367043018341
365,0.12569420039653778
366,0.12731961905956268
367,0.12610669434070587
368,0.1256556361913681
369,0.12531115114688873
370,0.12478601932525635
371,0.12428302317857742
372,0.1239820346236229
373,0.12350066006183624
374,0.12306803464889526
375,0.12289974838495255
376,0.12311752140522003
377,0.12284219264984131
378,0.12306716293096542
379,0.12270823121070862
380,0.12385614961385727
